,Threshold,#Total,Default Rate,Revenue
0,0.1,31942,0.0,4669.814154433216
1,0.2,35591,8.429097243685201e-05,5190.529323256263
2,0.3,37799,0.0009524061483108018,5507.630104966027
3,0.4,39458,0.0025089969081048204,5740.606805678556
4,0.5,40995,0.006000731796560556,5944.329829566314
5,0.6,42552,0.012948862568151908,6122.6647175598055
6,0.7,44546,0.02639967673865218,6322.9398388767295
7,0.8,47277,0.05089155403261628,6535.722580517775
8,0.85,49287,0.07137784811410716,6662.599501376156
9,0.89,51467,0.09652787222880681,6767.006968604864
10,0.9,52157,0.10495235538853845,6793.282253298713
